Date,Year,Season,Crop,State,District,Irrigation_Type,Area_ha,Fertilizer_Use,Yield_kg_ha,Production_tons
2024-04-28,2024,Kharif,Pulses,Uttar Pradesh,Kanpur,Canal,285.12,199.0,1991.0,567.67
2017-05-13,2017,Perennial,Tea,Kerala,Kozhikode,Drip,647.36,130.0,2857.0,1849.51
2022-04-08,2022,Zaid,Coconut,Andhra Pradesh,Guntur,Rainfed,31.65,198.0,6466.0,204.65
2024-05-05,2024,Rabi,Potato,Uttar Pradesh,Varanasi,Rainfed,1381.65,162.0,22078.0,30504.07
2023-10-12,2023,Kharif,Maize,Telangana,Nizamabad,Rainfed,455.26,68.0,5272.0,2400.13
2018-04-03,2018,Kharif,Cotton,Telangana,Hyderabad,Tube Well,211.81,169.0,1402.0,296.96
2022-10-04,2022,Kharif,Pulses,Rajasthan,Jaipur,Tube Well,11.97,74.0,2013.0,24.1
2016-08-17,2016,Perennial,Coffee,Karnataka,Mysore,Tube Well,619.91,130.0,1799.0,1115.22
2019-01-26,2019,Rabi,Pulses,Madhya Pradesh,Bhopal,Tube Well,203.15,142.0,1742.0,353.89
2019-04-26,2019,Zaid,Coconut,Andhra Pradesh,Visakhapatnam,Rainfed,761.2,184.0,11499.0,8753.04
2019-02-12,2019,Kharif,Pulses,Madhya Pradesh,Bhopal,Rainfed,232.12,82.0,834.0,193.59
2016-09-05,2016,Perennial,Sugarcane,Tamil Nadu,Madurai,Tube Well,105.95,181.0,76660.0,8122.13
2020-02-16,2020,Perennial,Tea,Assam,Tinsukia,Rainfed,408.99,190.0,1725.0,705.51
2024-01-19,2024,Kharif,Pulses,Uttar Pradesh,Varanasi,Canal,851.08,63.0,1276.0,1085.98
2025-05-06,2025,Kharif,Oilseeds,Maharashtra,Pune,Rainfed,593.84,183.0,2321.0,1378.3
2019-10-21,2019,Kharif,Cotton,Maharashtra,Pune,Drip,600.87,89.0,736.0,442.24
2019-10-01,2019,Kharif,Maize,Telangana,Hyderabad,Canal,534.79,62.0,7283.0,3894.88
2020-03-11,2020,Rabi,Potato,Bihar,Gaya,Canal,531.09,194.0,41765.0,22180.97
2024-04-20,2024,Rabi,Pulses,Madhya Pradesh,Bhopal,Tube Well,114.73,109.0,2544.0,291.87
2018-07-30,2018,Kharif,Pulses,Uttar Pradesh,Varanasi,Tube Well,303.66,143.0,2413.0,732.73
2017-02-07,2017,Rabi,Wheat,Madhya Pradesh,Bhopal,Rainfed,122.01,133.0,4095.0,499.63
2019-06-19,2019,Kharif,Maize,Maharashtra,Nashik,Rainfed,904.35,82.0,3930.0,3554.1
2024-08-25,2024,Kharif,Oilseeds,Madhya Pradesh,Bhopal,Rainfed,427.59,150.0,2155.0,921.46
2023-08-20,2023,Kharif,Pulses,Uttar Pradesh,Varanasi,Tube Well,650.48,57.0,1268.0,824.81
2023-12-26,2023,Rabi,Potato,West Bengal,Howrah,Rainfed,880.19,80.0,21671.0,19074.6
2018-09-11,2018,Zaid,Coconut,Karnataka,Bangalore,Canal,365.12,192.0,15879.0,5797.74
